"","date","area_comb","n_poly_comb","area_coastal","n_poly_coastal","area_oceanic","n_poly_oceanic","WDLarea_comb","WDLn_poly_comb","WDLarea_coastal","WDLn_poly_coastal","WDLarea_oceanic","WDLn_poly_oceanic","AMDarea_comb","AMDn_poly_comb","AMDarea_coastal","AMDn_poly_coastal","AMDarea_oceanic","AMDn_poly_oceanic","BELarea_comb","BELn_poly_comb","BELarea_coastal","BELn_poly_coastal","BELarea_oceanic","BELn_poly_oceanic","PACarea_comb","PACn_poly_comb","PACarea_coastal","PACn_poly_coastal","PACarea_oceanic","PACn_poly_oceanic","ROSarea_comb","ROSn_poly_comb","ROSarea_coastal","ROSn_poly_coastal","ROSarea_oceanic","ROSn_poly_oceanic","INDarea_comb","INDn_poly_comb","INDarea_coastal","INDn_poly_coastal","INDarea_oceanic","INDn_poly_oceanic"
"12209",2017-02-15,13125.5366689303,5,13125.5366689303,5,0,0,625.001183151489,1,625.001183151489,1,0,0,0,0,0,0,0,0,1250.00578876852,1,1250.00578876852,1,0,0,11250.5296970103,3,11250.5296970103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12210",2017-02-16,10000.6697112979,4,10000.6697112979,4,0,0,4375.35557637927,1,4375.35557637927,1,0,0,0,0,0,0,0,0,625.001180918079,1,625.001180918079,1,0,0,5000.31295400058,2,5000.31295400058,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12211",2017-02-17,11875.6770632085,6,10000.6591645095,5,1875.01789869904,1,5625.36874842053,2,3750.3508497215,1,1875.01789869904,1,0,0,0,0,0,0,0,0,0,0,0,0,4375.30115928424,2,4375.30115928424,2,0,0,0,0,0,0,0,0,1875.00715550375,2,1875.00715550375,2,0,0
"12212",2017-02-18,15625.5504725597,9,15625.5504725597,9,0,0,0,0,0,0,0,0,625.00118273706,1,625.00118273706,1,0,0,3750.98321834716,2,3750.98321834716,2,0,0,8749.55778596451,3,8749.55778596451,3,0,0,0,0,0,0,0,0,2500.00828551096,3,2500.00828551096,3,0,0
"12213",2017-02-19,12501.1379893685,7,12501.1379893685,7,0,0,0,0,0,0,0,0,625.00118273706,1,625.00118273706,1,0,0,1250.00578876852,1,1250.00578876852,1,0,0,10001.1298414013,4,10001.1298414013,4,0,0,0,0,0,0,0,0,625.001176461639,1,625.001176461639,1,0,0
"12214",2017-02-20,24376.2968223726,5,24376.2968223726,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250.00578876852,1,1250.00578876852,1,0,0,23126.2910336041,4,23126.2910336041,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12215",2017-02-21,25003.2009571943,5,25003.2009571943,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24378.1997807327,4,24378.1997807327,4,0,0,0,0,0,0,0,0,625.001176461639,1,625.001176461639,1,0,0
"12216",2017-02-22,9374.60564764917,5,9374.60564764917,5,0,0,625.001183151489,1,625.001183151489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499.60211150027,2,7499.60211150027,2,0,0,0,0,0,0,0,0,1250.00235299741,2,1250.00235299741,2,0,0
"12217",2017-02-23,21876.7215776354,7,21876.7215776354,7,0,0,12501.6870801902,1,12501.6870801902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500.03097363808,3,7500.03097363808,3,0,0,0,0,0,0,0,0,1875.00352380713,3,1875.00352380713,3,0,0
"12218",2017-02-24,21877.8057128291,13,21252.8045407402,12,625.001172088837,1,1250.00596423999,1,1250.00596423999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16877.7894163342,7,16252.7882442454,6,625.001172088837,1,0,0,0,0,0,0,3750.01033225486,5,3750.01033225486,5,0,0
